Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Sardin_round,Shark
336,11,00,14,00,2009,02,24,Levi,Ashkelon S,22,,,,FALSE,,FALSE,,336,,,,,,,,,,1,,1,,,2,,,,,,,,2,2,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
337,14,30,,,2009,02,24,Levi,,30,,,,FALSE,,FALSE,,337,,,,,,,,,,2 M+,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,
338,07,00,10,15,2009,02,25,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,338,,,,,,,,,,2,,2,,,1,,,,,,,,,4,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
339,12,00,16,30,2009,02,25,Levi,Ashkelon,,20,,,FALSE,,FALSE,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
340,17,30,23,00,2009,02,26,Levi,Ashdod N,16,,,,FALSE,,FALSE,,340,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
341,23,30,04,45,2009,02,26,Levi,Ashdod N,16,,,,FALSE,,FALSE,,341,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
342,,,,,2009,02,27,,,,,,,TRUE,,FALSE,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
343,,,,,2009,02,28,,,,,,,TRUE,,FALSE,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
344,06,00,09,30,2009,03,02,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,344,,,,,,,,,,,,1,,,1,,,,,,,,4,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
345,,,,,2009,03,02,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,345,,,,,,,,,,,,1,,,2,,,,,,,0.25,3,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
346,14,30,18,00,2009,03,02,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,346,,,,,,,,,,,,0.5,,,1,,,,,,,,5,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
347,19,30,05,00,2009,03,02,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,347,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
348,06,30,10,00,2009,03,03,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,348,,,,,,,,,,,,,,,1,,,,,,,1,3,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
349,11,00,14,30,2009,03,03,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,349,,,,,,,,,,,,1,,,1,,,,,,,,4,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
350,15,00,18,00,2009,03,03,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,350,,,,,,,,,,,,1,,,1,,,,,,,0.5,4,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
351,19,30,03,00,2009,03,03,Vadim,Ashdod N,,1.7,,,FALSE,,FALSE,,351,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
352,08,30,12,00,2009,03,04,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
353,13,00,15,00,2009,03,04,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,353,,,,,,,,,,,,4.5,,,1,,,,,,,,2,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
354,15,30,18,00,2009,03,04,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,354,,,,,,,,,,1,,0.5,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
355,20,00,05,00,2009,03,04,Vadim,Ashdod S,,1.7,,,FALSE,,FALSE,,355,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
356,06,30,10,00,2009,03,05,Vadim,Jaffa N,31,,,,FALSE,,FALSE,,356,,,,,,,,,,,,1,,,0.5,,,,,,,,4,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
357,10,30,14,00,2009,03,05,Vadim,Jaffa N,,4,,,FALSE,,FALSE,,357,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,3,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
358,14,30,18,00,2009,03,05,Vadim,Jaffa S,42,,,,FALSE,,FALSE,,358,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,3,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
359,20,00,05,00,2009,03,05,Vadim,Ashdod N,,1.7,,,FALSE,,FALSE,,359,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
360,08,30,12,00,2009,03,06,Vadim,Ashdod N,78,,,,FALSE,,FALSE,,360,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,3,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
361,13,00,16,00,2009,03,06,Vadim,Ashdod S,48,,,,FALSE,,FALSE,,361,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,0.25,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
362,16,30,20,30,2009,03,06,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,362,,,,,,,,,,2,,4.5,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
363,21,30,05,30,2009,03,06,Vadim,Ashdod N,,1.2,,,FALSE,,FALSE,,363,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
364,07,00,10,30,2009,03,07,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
365,11,00,14,00,2009,03,07,Vadim,Ashdod S,36,,,,FALSE,,FALSE,,365,,,,,,,,,,,,1,,,1,,,,,,,,7,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
366,14,30,18,00,2009,03,07,Vadim,Ashdod S,,3.4,,,FALSE,,FALSE,,366,,,,,,,,,,,,1,,,2,,,,,,,,4,,,,,,,,,,,,,,FALSE,,1 Ind,,,,,,,,FALSE,,,,,,,,,,,
367,20,30,05,00,2009,03,07,Vadim,Ashdod N,,1.3,,,FALSE,,FALSE,,367,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
368,07,00,10,3,2009,03,08,Vadim,Ashdod S,,3,,,FALSE,,FALSE,,368,,,,,,,,,,1,,,,,1,,,,,,,,4,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
369,11,15,14,00,2009,03,08,Vadim,Ashdod S,24,,,,FALSE,,FALSE,,369,,,,,,,,,,1,,2,,,1.5,,,,,,,,5,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
370,15,00,18,00,2009,03,08,Vadim,Ashdod S,42,,,,FALSE,,FALSE,,370,,,,,,,,,,,,1,,,,,,,,,,,5,,3,,,,,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
371,20,00,03,00,2009,03,08,Vadim,Ashdod N,,1.5,,,FALSE,,FALSE,,371,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
372,10,40,13,45,2009,03,16,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,372,,,,,,,,,,1,,0.5,,,0.5,,,,,,,,1,1,,,,3 M+,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
373,14,30,18,15,2009,03,16,Levi,Ashkelon S,23,,,,FALSE,,FALSE,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,
374,19,45,01,00,2009,03,16,Levi,Ashdod S,22,,,,FALSE,,FALSE,,374,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
375,02,00,06,00,2009,03,16,Levi,Ashdod S,12,,,,FALSE,,FALSE,,375,,,,,,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
376,06,30,10,00,2009,03,17,Levi,Nitanim,18,,,,FALSE,,FALSE,,376,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
377,11,30,15,30,2009,03,17,Levi,Ashdod N,120,,,,FALSE,,FALSE,,377,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,1 S+1 L+,FALSE,,,,,,,,,1,FALSE,,,,,,,,,,,
378,16,30,19,00,2009,03,17,Levi,Ashdod N,28,,,,FALSE,,FALSE,,378,,,,,,,,,,,,1,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
379,19,30,,,2009,03,17,Levi,Jaffa S,,1.4,,,FALSE,,FALSE,Gambari,379,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
380,06,45,10,00,2009,03,18,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,380,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
381,11,30,14,30,2009,03,18,Levi,Ashdod S,50,,,,FALSE,,FALSE,,381,3,,,,,,,,,1 S+,,,,,,,,,,,,,,,,,,,0.5,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
382,15,30,18,30,2009,03,18,Levi,Ashkelon,60,,,,FALSE,,FALSE,,382,,,,,,,,,,2 S+,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
383,20,30,05,4,2009,03,18,Levi,Ashdod S,,1.4,,,FALSE,,FALSE,,383,,,,,2,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
384,08,15,12,30,2009,03,19,Levi,Ashdod S,80,,,,FALSE,,FALSE,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,
385,14,00,18,30,2009,03,19,Levi,Gazza N,34,,,,FALSE,,FALSE,,385,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
386,20,00,00,15,2009,03,19,Levi,Ashdod S,22,,,,FALSE,,FALSE,,386,,,,,,,,,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
387,00,15,,,2009,03,19,Levi,Ashdod S,20,,,,FALSE,,FALSE,,387,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
388,19,00,06,00,2009,03,20,Levi,Ashdod N,,1.4,,,FALSE,,FALSE,,388,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
389,07,30,11,30,2009,03,21,Levi,Jaffa N,115,,,,FALSE,,FALSE,,389,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,0.5,,,,,2,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
390,12,30,16,00,2009,03,21,Levi,gaas N,115,,,,FALSE,,FALSE,,390,,1,,,,,,,,6 S+,,,,,,,,,,,,,1,,,,,,1.5 L+,,,,,4,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
391,17,00,22,00,2009,03,21,Levi,Hadera S,115,,,,FALSE,,FALSE,,391,,0.25,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,0.25,,,,,3,,,FALSE,,,,,,,3,,,FALSE,,,,,,,,,,,
392,23,30,04,30,2009,03,21,Levi,Herzelia N,160,,,,FALSE,,FALSE,,392,,1.5 S+1.5 M+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,FALSE,,,,,,,,2.5,,FALSE,,,,,,,,,,,
393,05,30,10,15,2009,03,22,Levi,Hadera S,115,,,,FALSE,,FALSE,,393,,0.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,6,,0.5,FALSE,,,,,,,,,1,FALSE,,,,,,,,,,,
394,11,15,16,00,2009,03,22,Levi,Herzelia S,80,,,,FALSE,,FALSE,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,
395,17,30,04,30,2009,03,22,Levi,Ashdod N,,1.3,,,FALSE,,FALSE,Gambari,395,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
396,,,,,2009,03,23,,,,,,,TRUE,,FALSE,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
397,,,,,2009,03,24,,,,,,,TRUE,,FALSE,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
398,14,30,18,00,2009,03,25,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,398,,,,,,,,,,,,1,,,1,,,,,,,1,2,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
399,19,00,05,00,2009,03,25,Vadim,,,,,,FALSE,,FALSE,,399,,,,,1,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
400,06,00,09,00,2009,03,26,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,400,,,,,,,,,,,,1,,,0.5,,,,,,,1,2,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
401,10,00,14,00,2009,03,26,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,401,,,,,,,,,,,,1,,,0.5,,,,,,,0.5,3,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
402,14,30,18,00,2009,03,26,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,402,,,,,,,,,,1,,1,,,0.5,,,,,,,,5,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
403,20,00,03,15,2009,03,26,Vadim,Ashdod S,12,,,,FALSE,,FALSE,,403,,,,,5,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
404,06,30,11,00,2009,03,27,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,404,,,,,,,,,,2,,1,,,1,,,,,,,6,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
405,11,30,15,30,2009,03,27,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,405,,,,,,,,,,2,,1,,,1,,,,,,,4,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
406,,,,,2009,03,28,,,,,,,TRUE,,FALSE,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
407,14,30,18,00,2009,03,29,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,407,,,,,,,,,,1,,1,,,,,,,,,,2,3,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
408,20,00,03,00,2009,03,29,Vadim,Ashdod S,12,,,,FALSE,,FALSE,,408,,,,,4,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
409,09,30,14,00,2009,03,30,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,409,,,,,,,,,,2,,,,,0.5,,,,,,,,,,,,,,1.5,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
410,14,30,18,00,2009,03,30,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,410,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
411,19,30,05,00,2009,03,30,,Ashdod N,,1.3,,,FALSE,,FALSE,,411,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
412,07,30,13,00,2009,03,31,Vadim,Ashdod S,76,,,,FALSE,,FALSE,,412,,,,,,,,,,2,,,,,0.5,,,,,,,,,,,,,,1,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
413,13,30,18,00,2009,03,31,Vadim,Ashdod S,76,,,,FALSE,,FALSE,,413,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,1,1.5,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
414,19,30,02,30,2009,03,31,,Ashdod N,,1.6,,,FALSE,,FALSE,,414,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
415,12,00,16,00,2009,04,01,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,415,,,,,,,,,,,,1,,,1,,,,,,,2,5,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,3,,,
416,16,00,19,30,2009,04,01,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,416,,,,,,,,,,,,2,,,,,,,,,,1.5,,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,3,,,
417,20,30,05,00,2009,04,01,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,Gambari,417,,,,,1,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
418,06,30,10,30,2009,04,02,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,418,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,2,,,
419,11,00,14,30,2009,04,02,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,419,,,,,,,,,,,,,,,1,,,,,,,4,7,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,5,,,
420,15,00,20,00,2009,04,02,Vadim,,,,,,FALSE,,FALSE,,420,,,,,,,,,,,,,,,0.5,,,,,,,2,7,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,1,,,
421,23,00,03,00,2009,04,02,Vadim,Ashdod N,,1.4,,,FALSE,,FALSE,,421,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
422,06,45,11,00,2009,04,03,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,422,,,,,,,,,,,,2,,,,,,,,,,2,5,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,4,,,
423,11,30,15,00,2009,04,03,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,423,,,,,,,,,,,,,,,,,,,,,,1.5,5,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,7,,,
424,15,30,19,30,2009,04,03,Vadim,Ashdod S,27,,,,FALSE,,FALSE,,424,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,3,,,
425,20,00,01,30,2009,04,03,Vadim,Ashdod S,27,,,,FALSE,,FALSE,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,3,,,
426,02,30,06,00,2009,04,03,Vadim,Ashdod S,,3,,,FALSE,,FALSE,,426,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,3,,,
427,07,00,11,00,2009,04,04,Vadim,Ashdod N,,3.2,,,FALSE,,FALSE,,427,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,FALSE,,2,,,,,,,,FALSE,,,,,,,,3,,,
428,12,30,16,00,2009,04,04,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,428,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0.5,,,,,2,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
429,17,00,20,00,2009,04,04,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,429,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,2,,,
430,21,00,03,30,2009,04,04,Vadim,Ashdod S,,1.8,,,FALSE,,FALSE,,430,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
431,07,30,12,00,2009,04,05,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,431,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1.5,,,,,2,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
432,12,30,17,00,2009,04,05,Vadim,Ashdod S,78,,,,FALSE,,FALSE,,432,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
433,18,00,20,00,2009,04,05,Vadim,Ashdod S,50,,,,FALSE,,FALSE,,433,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
434,21,00,05,30,2009,04,05,Vadim,Ashdod S,,1.6,,,FALSE,,FALSE,,434,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
435,07,00,10,00,2009,04,06,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,435,,,,,,,,,,1.5,1 Ind,1.5,,,,,,,,,,,2,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
436,14,30,19,00,2009,04,21,Vadim,Ashdod S,79,,,,FALSE,,FALSE,,436,,1.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.5,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
437,22,00,05,15,2009,04,21,Vadim,Ashdod S,12,,,,FALSE,,FALSE,,437,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
438,06,30,09,30,2009,04,22,Vadim,Ashdod S,79,,,,FALSE,,FALSE,,438,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
439,10,00,14,30,2009,04,22,Vadim,Ashdod S,79,,,,FALSE,,FALSE,,439,,1.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,2,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
440,15,00,19,30,2009,04,22,Vadim,Ashdod S,79,,,,FALSE,,FALSE,,440,,0.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
441,,,,,2009,04,22,Vadim,Ashdod S,12,,,,FALSE,,FALSE,,441,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
442,07,00,10,30,2009,04,23,Vadim,Ashdod S,,4,,,FALSE,,FALSE,,442,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,2,,,
443,11,00,14,30,2009,04,23,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,443,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,2,,,
444,15,00,19,30,2009,04,23,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,444,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,2,,,
445,20,00,03,15,2009,04,23,Vadim,Ashdod S,12,,,,FALSE,,FALSE,,445,,,,,,,,,13 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
446,11,00,15,00,2009,05,01,Levi,Ashdod N,18,,,,FALSE,,FALSE,,446,,,,,,,,,,1,,,,,,,,0.5,,,,,,,,,1,,,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,0.25,,,,,
447,15,30,19,30,2009,05,01,Levi,Jaffa N,,2.75,,,FALSE,,FALSE,,447,,,,,,,,,,2,,0.5,,,,,,0.5 L+,,,,,,,,,2,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,1,,,,,
448,21,00,05,30,2009,05,01,Levi,Jaffa S,14,,,,FALSE,,FALSE,Gambari,448,,,,,,,,,20 Kg,,,,,,,,,,2,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
449,06,30,09,30,2009,05,02,Levi,Palmachim S,,3.4,,,FALSE,,FALSE,,449,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
